text;style
"O teu caminho; ó Deus; está no santuário. Que deus é tão grande como o nosso Deus?";arcaico
Os guardas que estavam a tomar conta de Jesus começaram a fazer pouco dele.;arcaico
Mil de cada tribo entre todas as tribos de Israel enviareis à guerra.;arcaico
Pois que aproveitaria ao homem ganhar todo o mundo e perder a sua alma?;arcaico
"Porque este é o concerto que; depois daqueles dias; farei com a casa de Israel; diz o Senhor: porei as minhas leis no seu entendimento e em seu coração as escreverei; e eu lhes serei por Deus; e eles me serão por povo.";arcaico
"E ele; tornando a sair dos territórios de Tiro e de Sidom; foi até ao mar da Galileia; pelos confins de Decápolis.";arcaico
Porque por seus próprios pés é lançado na rede e andará nos fios enredados.;arcaico
"E enviaram-lhe os seus discípulos; com os herodianos; dizendo: Mestre; bem sabemos que és verdadeiro e ensinas o caminho de Deus; segundo a verdade; sem te importares com quem quer que seja; porque não olhas à aparência dos homens.";arcaico
"Então; os príncipes dos filisteus subiram a ela e lhe disseram: Persuade-o e vê em que consiste a sua grande força e com que poderíamos assenhorear-nos dele e amarrá-lo; para assim o afligirmos; e te daremos cada um mil e cem moedas de prata.";arcaico
"No entanto; não querem vir a mim para que vos dê essa mesma vida eterna.";arcaico
"Depois; disse a Zeba e a Salmuna: Que homens eram os que matastes em Tabor? E disseram: Qual tu; tais eram eles; cada um; na aparência; como filhos de um rei.";arcaico
"Ao louco nunca mais se chamará nobre; e do avarento nunca mais se dirá que é generoso.";arcaico
"E dirás perante o Senhor; teu Deus: Tirei o que é consagrado de minha casa e dei também ao levita; e ao estrangeiro; e ao órfão e à viúva; conforme todos os teus mandamentos que me tens ordenado; nada traspassei dos teus mandamentos; nem deles me esqueci.";arcaico
As dádivas de Deus e a sua chamada nunca poderão ser anuladas.;arcaico
"Assim; ficou Absalão dois anos inteiros em Jerusalém e não viu a face do rei.";arcaico
"E removerei o cativeiro do meu povo Israel; e reedificarão as cidades assoladas; e nelas habitarão; e plantarão vinhas; e beberão o seu vinho; e farão pomares; e lhes comerão o fruto.";arcaico
"Porque realmente tu dás bem as graças; mas o outro não é edificado.";arcaico
"por isso; assim diz o Senhor; Deus de Israel: Eis que hei de trazer tal mal sobre Jerusalém e Judá; que qualquer que ouvir; lhe ficarão retinindo ambas as orelhas.";arcaico
"Todavia; não se alegrem porque os demónios vos obedecem. Alegrem-se por os vossos nomes estarem registados nos céus! ”";arcaico
"e; quando voltam do mercado; se não se lavarem; não comem. E muitas outras coisas há que receberam para observar; como lavar os copos; e os jarros; e os vasos de metal; e as camas.";arcaico
"E disse-me um dos anciãos: Não chores; eis aqui o Leão da tribo de Judá; a Raiz de Davi; que venceu para abrir o livro e desatar os seus sete selos.";arcaico
"Então Jesus; tomando-a pela mão; exclamou: “Levanta-te; menina! ”";arcaico
"Chegando; pois; à sua casa; tomou um cutelo; e pegou na sua concubina; e a despedaçou com os seus ossos em doze partes e enviou-os por todos os termos de Israel.";arcaico
"Vocês próprios são testemunhas de como concordam com eles; porque levantam os túmulos dos mesmos profetas que os nossos pais mataram.";arcaico
"(Naquele tempo; eu estava em pé entre o Senhor e vós; para vos notificar a palavra do Senhor; porque temestes o fogo e não subistes ao monte.); dizendo:";arcaico
"Mas; no dia em que Ló saiu de Sodoma; choveu do céu fogo e enxofre; consumindo a todos.";arcaico
"Aquele que é desde o princípio; nós mesmos o ouvimos e vimos. Nós o vimos com os nossos olhos e tocámos-lhe com as nossas próprias mãos. Ele é Jesus Cristo; a palavra da vida.";arcaico
"Há caminho que parece direito ao homem; mas o seu fim são os caminhos da morte.";arcaico
"Não se dará por ela ouro fino; nem se pesará prata em câmbio dela.";arcaico
"Os judeus responderam; dizendo-lhe: Não te apedrejamos por alguma obra boa; mas pela blasfêmia; porque; sendo tu homem; te fazes Deus a ti mesmo.";arcaico
"Faleceu; porém; Josué; filho de Num; servo do Senhor; da idade de cento e dez anos.";arcaico
"Fala aos filhos de Israel; dizendo: Apartai para vós as cidades de refúgio; de que vos falei pelo ministério de Moisés;";arcaico
"E agora; se te querias ir embora; porquanto tinhas saudades de voltar à casa de teu pai; por que furtaste os meus deuses?";arcaico
"Será grande e será chamado Filho do Altíssimo. O Senhor Deus vai dar-lhe o trono do seu antepassado; o rei David.";arcaico
"Contudo; enviou o rei da Assíria a Tartã; e a Rabe-Saris; e a Rabsaqué; de Laquis; com um grande exército; ao rei Ezequias; a Jerusalém; e subiram; e vieram a Jerusalém; e; subindo e vindo eles; pararam ao pé do aqueduto da piscina superior; que está junto ao caminho do campo do lavandeiro.";arcaico
"Como filhos obedientes de Deus; não se conformem com a maldade de quando viviam na ignorância.";arcaico
"Abriu-se a terra; e engoliu a Datã; e cobriu a gente de Abirão.";arcaico
"Não é este o carpinteiro; filho de Maria e irmão de Tiago; e de José; e de Judas; e de Simão? E não estão aqui conosco suas irmãs? E escandalizavam-se nele.";arcaico
Fez mais o rei um grande trono de marfim e o cobriu de ouro puríssimo.;arcaico
"E disseram: Ah! Senhor; Deus de Israel; por que sucedeu isto em Israel; que hoje falte uma tribo em Israel?";arcaico
"O Senhor te fará pegar a pestilência; até que te consuma da terra; a qual passas a possuir.";arcaico
"Orai ao Senhor (pois que basta) para que não haja mais trovões de Deus nem saraiva; e eu vos deixarei ir; e não ficareis mais aqui.";arcaico
"Esse Espírito Santo; Deus o derramou abundantemente sobre nós; através de Jesus Cristo; nosso Salvador.";arcaico
"E ouvi como que a voz de uma grande multidão; e como que a voz de muitas águas; e como que a voz de grandes trovões; que dizia: Aleluia! Pois já o Senhor; Deus Todo-Poderoso; reina.";arcaico
E nem assim o testemunho deles era coerente.;arcaico
"E ele enviará os seus anjos com rijo clamor de trombeta; os quais ajuntarão os seus escolhidos desde os quatro ventos; de uma à outra extremidade dos céus.";arcaico
"E os que fizeram o bem sairão para a ressurreição da vida; e os que fizeram o mal; para a ressurreição da condenação.";arcaico
"Porém ele lhe disse: Mau servo; pela tua boca te julgarei; sabias que eu sou homem rigoroso; que tomo o que não pus e sego o que não semeei.";arcaico
"Não vos entremetais com eles; porque vos não darei da sua terra; nem ainda a pisada da planta de um pé; porquanto a Esaú tenho dado a montanha de Seir por herança.";arcaico
"Subi vós a esta festa; eu não subo ainda a esta festa; porque ainda o meu tempo não está cumprido.";arcaico
"Então; ele me levou ao caminho do sul; e eis que havia ali uma porta que olhava para o caminho do sul; e mediu os seus pilares e os seus vestíbulos conforme estas medidas.";arcaico
"Jesus lhe disse: Não te digo que até sete; mas até setenta vezes sete. A parábola do credor incompassivo";arcaico
"O fumo desse suplício subirá para todo o sempre; pois que o tormento é eterno; nem de noite; nem de dia terão alívio esses que adoraram o monstro e a sua estátua; e que aceitaram receber o código do seu nome.";arcaico
"Disse; então; Zacarias ao anjo: Como saberei isso? Pois eu já sou velho; e minha mulher; avançada em idade.";arcaico
"Tu lhes darás a recompensa; Senhor; conforme a obra das suas mãos.";arcaico
"Não deviam matá-las; mas sim torturá-las; durante cinco meses; com um sofrimento semelhante ao que provoca a picada do escorpião.";arcaico
"Todos os domingos; cada um ponha de parte uma quantia daquilo que ganhou durante a semana; destinada a esta oferta. Não esperem que eu chegue; para fazer a coleta de uma só vez.";arcaico
"E disse: Nunca mais pularás de alegria; ó oprimida donzela; filha de Sidom; levanta-te; passa a Quitim e mesmo ali não terás descanso.";arcaico
Já estais fartos! Já estais ricos! Sem nós reinais! E prouvera Deus reinásseis para que também nós reinemos convosco!;arcaico
"Como ao animal que desce aos vales; o Espírito do Senhor lhes deu descanso; assim guiaste ao teu povo; para criares um nome glorioso.";arcaico
"Não temas quando alguém se enriquece; quando a glória da sua casa se engrandece.";arcaico
"E agora; no tempo próprio; essas boas novas foram dadas a conhecer através da pregação que me foi confiada por ordem de Deus nosso Salvador.";arcaico
"o qual; na verdade; em outro tempo; foi conhecido; ainda antes da fundação do mundo; mas manifestado; nestes últimos tempos; por amor de vós;";arcaico
"Por que razão vejo os medrosos voltando as costas? Os seus heróis estão abatidos e vão fugindo; sem olharem para trás; terror há ao redor; diz o Senhor.";arcaico
"E era o nome deste homem Nabal; e o nome de sua mulher; Abigail; e era a mulher de bom entendimento e formosa; porém o homem era duro e maligno nas obras; e era da casa de Calebe.";arcaico
"Também se dois dormirem juntos; eles se aquentarão; mas um só como se aquentará?";arcaico
"Acompanharam-no: Sópatro; filho de Pirro; de Bereia; Aristarco e Segundo de Tessalónica; Gaio de Derbe; Timóteo; Tíquico e Trófimo que eram da província da Ásia.";arcaico
"E; inclinando-se ele sobre o peito de Jesus; disse-lhe: Senhor; quem é?";arcaico
"conta o número das estrelas; chamando-as a todas pelos seus nomes.";arcaico
"Mas agora; conhecendo a Deus ou; antes; sendo conhecidos de Deus; como tornais outra vez a esses rudimentos fracos e pobres; aos quais de novo quereis servir?";arcaico
"Quando partir o arraial; Arão e seus filhos virão; e tirarão o véu da coberta; e com ele cobrirão a arca do Testemunho;";arcaico
"E; quando acabaram de cumprir tudo segundo a lei do Senhor; voltaram à Galileia; para a sua cidade de Nazaré.";arcaico
"E brotarão entre a erva; como salgueiros junto aos ribeiros das águas.";arcaico
"Também vos fazemos saber acerca de todos os sacerdotes; levitas; cantores; porteiros; netineus e ministros desta Casa de Deus que se lhes não possa impor nem direito; nem antigo tributo; nem renda.";arcaico
"Perversidade há no seu coração; todo o tempo maquina mal; anda semeando contendas.";arcaico
Os discípulos lembraram-se então disto que as Escrituras diziam: “Arde em mim um grande zelo pela tua casa. ”;arcaico
"“Senhor; dá-me dessa água; para não sentir mais sede e não ter de vir aqui tirar água! ”";arcaico
porque estes homens que aqui trouxestes nem são sacrílegos nem blasfemam da vossa deusa.;arcaico
"O comprimento de uma tábua era de dez côvados; e a largura de cada tábua era de um côvado e meio.";arcaico
"Por isso; o Reino dos céus pode comparar-se a um certo rei que quis fazer contas com os seus servos;";arcaico
"Certamente darás os dízimos de toda a novidade da tua semente; que cada ano se recolher do campo.";arcaico
"Sobre a face do campo cairás; porque eu falei; diz o Senhor Jeová.";arcaico
"E ajuntem toda a comida destes bons anos; que vêm; e amontoem trigo debaixo da mão de Faraó; para mantimento nas cidades; e o guardem.";arcaico
"Pelo que disse ele: Chama-a. E; chamando-a ele; ela se pôs à porta.";arcaico
"Eles perecerão; mas tu permanecerás; todos eles; como uma veste; envelhecerão; como roupa os mudarás; e ficarão mudados.";arcaico
"Então; dali; buscarás ao Senhor; teu Deus; e o acharás; quando o buscares de todo o teu coração e de toda a tua alma.";arcaico
"e Gederote; e Bete-Dagom; e Naamá; e Maquedá: dezesseis cidades e as suas aldeias.";arcaico
"Mas qualquer que os tocar se armará de ferro e da haste de uma lança; e a fogo serão totalmente queimados no mesmo lugar. Os trinta e sete valentes que Davi teve";arcaico
"E; havendo-o prendido; o encerrou na prisão; entregando-o a quatro quaternos de soldados; para que o guardassem; querendo apresentá-lo ao povo depois da Páscoa.";arcaico
"Senhor; tenho esperado na tua salvação e tenho cumprido os teus mandamentos.";arcaico
"E; de fato; esteve doente e quase à morte; mas Deus se apiedou dele e não somente dele; mas também de mim; para que eu não tivesse tristeza sobre tristeza.";arcaico
Quanto menos lhe poderei eu responder ou escolher diante dele as minhas palavras!;arcaico
"Os justos o viram e se alegraram; e o inocente escarneceu deles;";arcaico
"Quem é que vence o mundo; senão aquele que crê que Jesus é o Filho de Deus?";arcaico
"Os chefes do povo: Parós; Paate-Moabe; Elão; Zatu; Bani;";arcaico
"Fazei votos e pagai ao Senhor; vosso Deus; tragam presentes; os que estão em redor dele; àquele que é tremendo.";arcaico
"Pelo que Moabe disse aos anciãos dos midianitas: Agora lamberá esta congregação tudo quanto houver ao redor de nós; como o boi lambe a erva do campo. Naquele tempo; Balaque; filho de Zipor; era rei dos moabitas.";arcaico
"Disse-lhes Pilatos: Que farei; então; de Jesus; chamado Cristo? Disseram-lhe todos: Seja crucificado!";arcaico
"que cumpriste com teu servo Davi; meu pai; o que lhe disseras; porque; com a tua boca; o disseste e; com a tua mão; o cumpriste; como neste dia se vê.";arcaico
"Porque isso seria uma infâmia e delito; pertencente aos juízes.";arcaico
"Não nos salvará a Assíria; não iremos montados em cavalos e à obra das nossas mãos não diremos mais: Tu és o nosso Deus; porque; por ti; o órfão alcançará misericórdia.";arcaico
"E outro de seus discípulos lhe disse: Senhor; permite-me que; primeiramente; vá sepultar meu pai.";arcaico
"Então; ele disse: Os meus deuses; que eu fiz; me tomastes; juntamente com o sacerdote; e vos fostes; que mais me fica agora? Como; pois; me dizeis: Que é o que tens?";arcaico
"E visto que nós; seus filhos; somos seres humanos; também ele se tornou carne e sangue. Pois só como ser humano poderia passar pela morte e esmagar a força daquele que tinha o poder da morte; o Diabo;";arcaico
"Antes que os montes fossem firmados; antes dos outeiros; eu fui gerada.";arcaico
"E Jesua gerou a Joiaquim; e Joiaquim gerou a Eliasibe; e Eliasibe gerou a Joiada;";arcaico
"então; lhe diziam: Dize; pois; chibolete; porém ele dizia: sibolete; porque o não podia pronunciar assim bem; então; pegavam dele e o degolavam nos vaus do Jordão; e caíram de Efraim; naquele tempo; quarenta e dois mil.";arcaico
"E; estando o povo em expectação e pensando todos de João; em seu coração; se; porventura; seria o Cristo;";arcaico
"mas o assentar-se à minha direita ou à minha esquerda não me pertence a mim concedê-lo; mas isso é para aqueles a quem está reservado.";arcaico
"Dar-te-ei as chaves do reino dos céus; tudo o que proibires na Terra será proibido no céu e tudo o que permitires na Terra será permitido nos céus. ”";arcaico
"Logo; que prêmio tenho? Que; evangelizando; proponha de graça o evangelho de Cristo; para não abusar do meu poder no evangelho.";arcaico
"pois dizia: “Se ao menos eu lhe tocar no manto; ficarei curada. ”";arcaico
"Mas eu vos digo a vós e aos restantes que estão em Tiatira; a todos quantos não têm esta doutrina e não conheceram; como dizem; as profundezas de Satanás; que outra carga vos não porei.";arcaico
Os teus estatutos têm sido os meus cânticos no lugar das minhas peregrinações.;arcaico
Fazei ouvir isto nos palácios de Asdode e nos palácios da terra do Egito e dizei: Ajuntai-vos sobre os montes de Samaria e vede os grandes alvoroços no meio dela e os oprimidos dentro dela.;arcaico
"As armas do nosso combate não são humanas; são armas de Deus; poderosas para a destruição das fortalezas contra Deus.";arcaico
